employee_id,employee_name,region,hire_date,monthly_salary,monthly_sales,num_clients_handled,performance_rating,incentive_percent,department_id,department,annual_budget,head_of_department
148,Rebekah Rivas,South,08-03-2018,72542,90894,4,2,10,5,,,
149,Monique Waters,North,15-12-2023,98712,321423,23,4,0,4,,,
150,Tanya Brady,North,22-05-2017,32416,94498,18,3,0,6,,,
151,Abigail Chavez,East,28-10-2022,70436,106195,34,2,0,5,,,
152,Jennifer Meadows,West,06-09-2015,104187,41363,29,3,5,5,,,
153,Sheryl Gates,South,13-05-2019,40486,22812,44,2,0,3,,,
154,Edward Carroll,South,14-03-2016,48695,490987,15,5,5,5,,,
155,Brandon Ford,South,19-04-2016,31229,354056,45,1,20,4,,,
156,Jennifer Hunt,South,20-08-2017,97066,255514,11,4,10,5,,,
157,Jessica Smith,North,25-09-2022,72347,301572,39,4,5,3,,,
158,Joseph Miller,North,15-05-2022,31363,296465,9,2,20,3,,,
159,Ray Cole,East,28-03-2018,112372,19085,47,1,10,6,,,
160,Lacey Patel,South,17-04-2024,115824,78342,35,1,10,4,,,
161,Jerome Robinson,South,15-09-2023,117916,241655,10,5,10,2,,,
162,Steven Williams,North,03-08-2020,75869,426676,40,3,15,2,,,
163,Leah Graham,East,13-11-2018,79729,179527,38,4,15,5,,,
164,Katherine York,North,14-04-2017,50303,70157,29,2,5,6,,,
165,William Day,South,22-07-2018,102853,105795,46,1,5,1,,,
166,Anthony Downs,South,08-10-2016,33264,198150,6,4,10,5,,,
167,Lonnie Chan,West,15-01-2022,48315,60939,19,4,20,6,,,
168,Timothy Gilbert,West,29-06-2020,108229,489868,26,4,5,4,,,
169,Craig Powell,West,21-04-2022,112102,282584,9,1,0,4,,,
170,Ricky Gordon,East,19-09-2019,90521,184440,41,5,0,4,,,
171,Jacob Jones,North,17-11-2017,54811,452347,48,4,5,4,,,
172,Margaret Young,South,04-07-2017,63405,405395,45,1,20,4,,,
173,Juan Rosales,South,21-02-2021,82157,247744,13,1,0,6,,,
174,Samuel Washington,East,11-03-2018,89823,111427,26,2,10,6,,,
175,Dawn Johnson,South,13-01-2024,49856,15665,44,5,10,3,,,
176,Stephen Kelley,South,12-08-2015,76970,116517,20,5,15,2,,,
177,Sarah Hutchinson,North,13-11-2017,80787,13390,2,5,15,4,,,
178,Ashley Herrera,West,10-04-2018,106174,280503,4,1,15,1,,,
179,Aimee Blair,West,16-02-2017,116352,232245,7,1,20,6,,,
180,Holly Williams,East,11-02-2016,50598,346744,19,5,10,1,,,
181,Dakota Rodriguez,West,13-02-2018,72541,142853,35,1,20,1,,,
182,Allison Mullen,West,19-08-2021,40652,196090,11,5,0,1,,,
183,Nicole Mitchell,East,31-08-2017,46963,138566,19,2,10,3,,,
184,Jeffery Gilmore,East,31-08-2019,62223,475835,32,3,15,6,,,
185,Deanna Brennan,West,04-12-2023,61024,298116,14,3,15,1,,,
186,Katie Blake,North,11-02-2016,33941,100743,49,3,0,4,,,
187,Tammy Gonzales,East,24-04-2019,103923,421201,5,3,10,5,,,
188,Brian Day,South,28-01-2022,104060,488017,25,2,20,1,,,
189,Lauren Wilson,East,29-04-2016,71617,199866,14,1,20,3,,,
190,Eric Rodriguez MD,South,08-04-2024,84704,372311,39,2,0,6,,,
191,Victoria Huerta,East,03-04-2023,56025,328629,12,4,10,3,,,
192,Kimberly White,East,31-10-2021,113172,371169,49,1,20,1,,,
193,Thomas Hoffman,West,14-08-2023,73224,468229,20,5,15,6,,,
194,Michael Navarro,West,26-08-2022,43277,403116,18,4,15,5,,,
195,Michael Sparks,West,05-07-2017,78718,344922,1,4,20,1,,,
196,Jacqueline Cervantes,North,28-10-2020,70995,238997,43,2,10,3,,,
197,Emily Young,West,12-04-2020,37539,87064,4,4,20,2,,,
198,Jennifer Stephens,West,04-05-2024,62853,443837,12,2,0,4,,,
199,Stephanie Gutierrez,East,31-03-2021,56811,59394,26,4,10,3,,,
200,William Hobbs,East,24-07-2015,36909,201064,32,2,20,6,,,
201,Benjamin Andersen,North,29-10-2022,83433,82441,37,1,15,1,,,
202,Justin Mason,South,24-08-2018,76084,80174,15,4,10,4,,,
203,Christopher Weiss,East,09-08-2022,103569,374820,35,2,5,1,,,
204,Jennifer Edwards,East,27-10-2019,86816,63797,26,3,10,6,,,
205,James Sullivan,South,28-02-2018,40748,329890,15,3,15,1,,,
206,Dr. Angela Brooks PhD,North,26-03-2017,100602,172441,8,4,10,2,,,
207,Jennifer Thomas,East,01-11-2020,92465,322749,28,2,0,4,,,
208,Mark Wagner,West,02-08-2022,79408,428788,30,1,15,4,,,
209,Erika Jackson,North,19-07-2020,41998,440155,43,4,15,6,,,
210,Deborah Gray,South,05-10-2016,43764,426082,44,1,0,2,,,
211,Jason Gordon,South,09-05-2022,75379,66060,3,2,5,3,,,
212,Jared Parker,West,25-02-2021,111394,425169,6,3,10,1,,,
213,Kelly Wood,West,11-02-2017,89588,496478,31,2,0,5,,,
214,Tina Barrera,West,12-04-2016,112613,319285,26,1,10,1,,,
215,Travis Williams,North,22-12-2017,92398,383053,8,3,10,1,,,
216,Robert Salazar,South,29-05-2017,105793,13501,39,4,5,3,,,
217,Kathryn Richards,West,17-12-2018,77210,338866,29,3,10,1,,,
218,Andrew Davis,West,12-06-2024,74560,109685,17,4,0,2,,,
219,Christopher Sullivan,South,24-04-2018,99201,319162,16,4,10,2,,,
220,Shelia Mcpherson,East,10-07-2017,46734,74127,49,3,10,4,,,
221,Julie Jones,North,04-11-2022,104376,197037,45,3,5,6,,,
222,Eric Charles,East,28-12-2021,107598,481368,4,1,10,5,,,
223,Cheryl Martinez,West,26-03-2022,102580,69198,10,3,15,1,,,
224,Ronald Kramer,North,21-12-2016,32063,421504,16,5,20,1,,,
225,Richard Adkins,East,05-05-2019,52313,251234,19,3,15,3,,,
226,Christopher Orr,South,03-08-2016,57087,233132,39,1,5,6,,,
227,Catherine Lopez,West,23-01-2022,75779,284369,13,5,10,2,,,
228,Mandy Thomas,North,11-01-2022,70181,497899,4,5,0,5,,,
229,Ashley Austin,North,29-03-2019,48205,142824,32,2,10,4,,,
230,Jessica Reid,North,03-12-2023,42464,167385,18,5,10,2,,,
231,Shaun Robertson,North,31-03-2023,57132,265765,16,4,5,6,,,
232,Mitchell Koch,West,02-07-2020,80737,136889,25,1,10,4,,,
233,Ashley Floyd,West,01-11-2016,99285,359335,16,2,0,3,,,
234,Matthew Ingram,South,27-06-2023,94549,370985,22,3,0,3,,,
235,Manuel Tucker,South,14-03-2019,65306,66734,24,5,20,1,,,
236,Tiffany Watson,South,25-03-2024,55592,28774,28,2,20,6,,,
237,Michael Johnson,East,06-10-2018,113987,167437,23,4,10,5,,,
238,Kayla Davis,South,27-01-2019,74758,124049,21,2,0,4,,,
239,Michele Smith,West,30-08-2015,117157,347062,9,4,10,2,,,
240,Susan Guerra,East,14-07-2022,36577,112240,2,2,15,6,,,
241,Natalie Evans,West,08-07-2020,115230,93415,38,2,5,6,,,
242,Patrick Taylor,East,02-10-2015,38263,200603,28,3,5,3,,,
243,John Mcgee,South,20-12-2019,112741,173044,26,3,0,1,,,
244,Marcia Moore,South,06-04-2019,38072,48984,27,3,15,1,,,
245,Jody Taylor,South,07-10-2019,90814,293051,25,2,0,4,,,
246,Sherri Munoz,East,10-06-2023,75306,13370,21,5,15,3,,,
247,Stephanie Sanders,West,30-01-2017,35691,207867,38,2,0,6,,,
248,Hector Lee,North,23-03-2024,117649,146898,25,3,20,5,,,
249,Frederick Jones,West,11-06-2021,31953,63227,38,2,10,3,,,
250,Denise Williams,South,19-06-2021,100499,242406,46,5,5,4,,,
251,Michael Charles,East,31-01-2023,106981,276839,11,4,5,4,,,
252,Kimberly Rowe,East,16-01-2024,67759,305008,28,1,15,3,,,
253,Elizabeth Guerra,South,08-06-2017,50185,350445,49,3,20,4,,,
254,Deborah Harrison,East,15-03-2019,103983,138677,36,2,15,3,,,
255,Hannah Williams,South,06-03-2022,64699,252685,4,5,20,2,,,
256,David Dominguez,West,11-12-2016,103490,71930,19,3,15,3,,,
257,Karen Kennedy,East,16-10-2015,83739,239313,24,3,0,3,,,
258,David Mason,North,18-04-2019,85631,330807,22,4,0,4,,,
259,Marisa Shaw,East,28-11-2023,47945,63653,48,1,5,4,,,
260,Kevin Campos,South,12-12-2018,68294,494042,25,2,15,1,,,
261,Cynthia Serrano,North,31-07-2019,42920,94414,8,2,15,1,,,
262,Michelle Hernandez,South,11-12-2022,83609,276187,20,3,0,2,,,
263,Whitney Murphy,East,04-11-2015,101096,285730,1,5,15,1,,,
264,Kenneth Ray,North,11-06-2018,110925,473891,4,3,5,3,,,
265,Vickie Fuller,North,24-09-2015,92358,304774,12,4,5,4,,,
266,George Copeland,East,10-04-2023,54265,452952,25,1,15,1,,,
267,Jason Gilbert,North,19-04-2024,103251,57530,21,4,5,1,,,
268,Stuart Ramirez,West,20-06-2022,114604,256713,19,5,5,2,,,
269,Joshua Hamilton,North,08-01-2016,39438,275041,34,2,15,6,,,
270,Joseph Luna,North,05-11-2022,100779,246904,6,5,15,2,,,
271,Michelle Rowe,West,07-12-2021,58629,274174,35,4,0,3,,,
272,Melissa Andrews,South,02-08-2015,92442,353349,3,2,0,4,,,
273,Angela Adams,South,25-04-2024,34085,223585,33,1,20,2,,,
274,Colleen Romero,West,28-10-2023,112926,241207,9,3,15,1,,,
275,Renee Galvan,North,18-11-2019,54513,417578,7,1,20,4,,,
276,Danny Arroyo,East,26-10-2022,90084,314780,41,3,15,4,,,
277,Anthony Mitchell,West,24-01-2017,116230,398142,27,1,20,1,,,
278,Mark Patel,East,17-12-2018,93605,344279,1,2,10,2,,,
279,Helen Harrison PhD,South,27-04-2024,91666,42879,40,2,15,1,,,
280,Daniel Roberts,West,21-02-2018,110420,139770,18,2,5,6,,,
281,Lauren Martinez,East,05-04-2021,98412,103846,35,3,20,4,,,
282,Janet Adams,North,12-10-2017,81178,47238,17,2,10,5,,,
283,Hannah Rodriguez,West,07-01-2022,101092,351306,39,5,10,5,,,
284,Paul Barry,East,08-09-2022,116027,166492,11,3,0,3,,,
285,Lisa Sims,West,15-11-2015,68009,372621,37,2,10,1,,,
286,Rhonda Watts,West,04-06-2024,93976,144150,45,2,20,1,,,
287,Heather Vaughn,South,10-10-2023,62225,397633,11,1,10,3,,,
288,Emily Reilly,South,13-02-2017,68437,339063,3,5,10,3,,,
289,Kevin Kennedy,North,27-04-2022,100935,49489,13,5,0,3,,,
290,Jennifer Brock,South,20-04-2017,43648,276114,28,3,0,4,,,
291,Stacey Higgins,South,02-06-2019,72936,190585,38,5,15,6,,,
292,Jason Taylor,South,04-01-2020,70263,473830,47,2,5,1,,,
293,Jessica Scott,East,08-04-2024,78373,45579,34,3,10,4,,,
294,Sarah Mckinney,West,24-05-2017,82814,193046,28,4,5,3,,,
295,Nathan Johnson,South,29-07-2021,95137,265683,2,1,10,1,,,
296,Jordan Bates,East,09-12-2018,117340,253700,46,1,0,4,,,
297,Scott Hickman,West,25-06-2017,76972,286150,2,4,20,6,,,
298,Mark Potts,South,25-12-2016,58147,461847,37,3,15,4,,,
299,Guy Burnett,South,13-02-2024,49295,424495,16,4,10,6,,,
300,Sean Becker,West,17-01-2024,36897,89477,8,5,20,3,,,
301,Charles Wang,East,03-11-2019,106812,123035,40,2,0,6,,,
302,Michelle Johnson,East,15-11-2019,68253,482376,11,4,15,1,,,
303,Rachael Hicks,North,24-09-2017,35838,109209,45,4,5,3,,,
304,Rachel Sharp,West,19-07-2018,112693,493277,15,5,15,1,,,
305,Christopher Parker,North,19-02-2016,97680,126570,4,3,5,5,,,
306,Colleen Newman,East,10-02-2022,109942,239867,23,2,10,2,,,
307,Kimberly Chapman,South,27-11-2016,56414,402980,8,2,5,6,,,
308,Christopher Rosales,North,02-10-2020,68748,154787,16,1,5,2,,,
309,Cheryl Walton,East,26-12-2018,91157,188552,16,2,15,2,,,
310,Jeffrey Lopez,East,04-11-2018,59483,263571,24,2,10,6,,,
311,Erica Rose,South,03-12-2021,41513,137634,10,2,0,3,,,
312,Mary Paul,West,10-05-2023,85549,313644,34,2,15,5,,,
313,Monica Sweeney,East,21-03-2021,74802,242262,18,5,10,1,,,
314,Taylor Frank,North,06-02-2022,56451,284751,16,1,20,4,,,
315,Amy Smith,South,05-11-2020,70909,261892,36,4,0,1,,,
316,Crystal Thompson,West,12-08-2019,78091,57328,8,1,5,4,,,
317,Lauren Castillo,West,09-05-2021,82389,354519,20,3,20,1,,,
318,Robin Henderson,West,16-11-2021,70963,371098,23,4,5,6,,,
319,Christopher Whitehead,East,03-11-2019,84734,101424,40,1,10,5,,,
320,Brian Gibbs,West,13-09-2022,118208,325808,14,1,0,4,,,
321,Kurt Lane,East,09-02-2020,108167,226601,16,1,0,3,,,
322,Thomas Valdez,South,25-10-2019,95509,444979,38,1,15,1,,,
323,Chase Miller,South,13-10-2015,62291,467482,18,1,10,1,,,
324,Jennifer Berry,West,27-04-2020,51817,68141,40,1,5,4,,,
325,Nicholas Bailey,South,28-04-2022,106968,177224,30,5,5,3,,,
326,Ryan Boyer,North,07-01-2018,114487,178544,36,5,5,3,,,
327,Kara Schwartz,North,07-05-2022,103666,173465,36,4,5,6,,,
328,Rachel Gonzalez,East,28-06-2020,118672,462572,39,2,0,6,,,
329,Frank Cook,West,29-03-2019,32559,184872,40,1,0,6,,,
330,Bryan Garcia,East,16-03-2019,44744,327023,41,2,5,6,,,
331,Amber Wells,South,02-12-2019,61155,337619,1,5,15,6,,,
332,Pamela Patterson,West,14-10-2023,51021,21254,17,3,20,6,,,
333,Angel Gonzales,East,27-08-2023,112532,336778,28,1,10,5,,,
334,Danny Patel,West,30-12-2018,86898,26102,7,4,5,3,,,
335,Laura Lee,West,09-04-2017,108723,29029,20,2,10,6,,,
336,Kenneth Humphrey,East,17-07-2016,81036,492252,42,4,5,3,,,
337,Brenda Smith,West,09-06-2018,83176,425029,24,1,15,3,,,
338,Crystal Murray,South,15-06-2019,88399,333122,1,2,20,2,,,
339,John Schneider,North,11-02-2023,48006,74739,18,2,5,5,,,
340,Eric Keller,North,01-11-2022,111911,405269,26,1,5,6,,,
341,Christopher Valdez,West,19-02-2023,82434,423114,14,3,20,1,,,
342,Sherry Thornton,North,21-10-2016,94591,108613,19,1,5,4,,,
343,Danielle Holmes,West,10-11-2022,33069,133664,18,4,0,1,,,
344,Victoria Guerra,East,04-04-2021,36486,171689,45,5,15,5,,,
345,Eric Lewis,South,09-01-2016,113175,90727,7,5,0,4,,,
346,Samantha Sanders,North,28-03-2021,95389,293528,2,5,15,5,,,
347,Heather Miller,East,10-05-2023,65428,211729,7,2,0,3,,,
348,Corey Gonzalez,South,13-10-2019,58800,370211,28,2,0,4,,,
349,Gary Blevins,North,25-08-2021,67220,228714,28,1,5,3,,,
350,Frank Patrick,North,10-08-2020,86254,369173,42,2,15,1,,,
351,Christine Campbell,South,15-07-2022,41869,246273,17,4,15,1,,,
352,Michael Francis,East,24-01-2021,34176,272106,30,1,5,4,,,
353,Gavin Rodriguez,East,13-09-2021,66454,97414,21,4,15,4,,,
354,Sara Miller,North,13-12-2019,100773,58373,37,5,15,6,,,
355,Anna Murphy,South,03-10-2017,56453,197863,9,4,5,5,,,
356,Brian Johnson,East,29-05-2023,86813,478558,36,5,10,6,,,
357,Larry Erickson,South,13-11-2022,96326,19519,22,2,20,5,,,
358,Bradley Calhoun,South,27-08-2017,77595,485193,15,1,0,6,,,
359,Richard Beck,North,10-04-2023,71184,437232,14,3,15,3,,,
360,Kevin Jones,South,03-10-2015,82186,363705,27,4,20,4,,,
361,Shawn Perez,South,04-05-2019,110290,433113,18,1,5,1,,,
362,Robert Roberts,West,15-04-2022,108603,130724,10,3,15,5,,,
363,Hannah Rivas,South,22-02-2017,46609,485653,48,1,20,5,,,
364,Rachel Watts,East,04-11-2022,115099,225069,22,3,0,1,,,
365,Larry Anderson,North,26-04-2021,104539,362406,23,1,20,6,,,
366,Debra Nguyen,North,19-03-2018,57068,268595,42,5,10,5,,,
367,Randall Porter,South,15-08-2016,76996,334728,41,3,15,3,,,
368,Peter Ellis,South,03-03-2023,91446,16384,48,1,0,4,,,
369,Ashlee Mendez,East,26-12-2019,99759,189970,5,3,0,1,,,
370,Sarah Turner,West,02-06-2020,119440,439657,25,5,0,4,,,
371,Chad Goodwin,North,29-10-2015,66834,132785,1,3,10,5,,,
372,Michael Howell,West,10-10-2015,50746,47917,24,3,20,5,,,
373,Vanessa Anthony,East,07-05-2018,51407,487649,33,1,0,1,,,
374,Logan Barnes,North,07-03-2016,116229,16608,37,4,10,3,,,
375,Shane Mcdaniel,East,29-01-2020,117657,249852,7,5,15,2,,,
376,David Small,South,20-10-2015,56403,420994,24,1,15,1,,,
